text,label
"A nova atualização do sistema está muito boa, parabéns!",unproductive
"Por favor, enviem o detalhamento dos custos do serviço.",productive
"O evento online de ontem foi ótimo, parabéns à equipe!",unproductive
Preciso de suporte para corrigir um erro no login.,productive
Agradeço pela solução rápida do problema com minha conta!,unproductive
Quero saber como integrar o sistema com nosso CRM.,productive
"Vi o post no X sobre o novo recurso, parece incrível!",unproductive
Podem verificar por que meu relatório não está carregando?,productive
"Obrigado pela atenção no suporte, foi muito bom!",unproductive
Preciso de ajuda para exportar dados do sistema para CSV.,productive
"Parabéns pelo lançamento do novo produto, está excelente!",unproductive
Meu pedido #56789 ainda não chegou. Podem verificar?,productive
"A nova campanha de marketing está muito bem feita, parabéns!",unproductive
Quero mudar meu plano para o básico. Como faço?,productive
"Obrigado pelo suporte rápido, resolveram tudo!",unproductive
Preciso de um relatório de transações do último mês.,productive
Vocês têm alguma novidade planejada para o próximo ano?,unproductive
"Meu sistema está com erro 429, podem investigar?",productive
"A nova interface do site está muito prática, parabéns!",unproductive
"Por favor, enviem a proposta comercial para o plano empresarial.",productive
"Obrigado pela entrega no prazo, foi ótimo!",unproductive
Preciso de suporte para configurar o acesso remoto.,productive
"Adorei o último webinar, muito bem organizado!",unproductive
"Meu login está bloqueado, podem liberar?",productive
Agradeço pela paciência em esclarecer minhas dúvidas!,unproductive
Quero agendar uma call para discutir o projeto Y.,productive
Vocês oferecem descontos para compras em grande quantidade?,unproductive
"Por favor, confirmem o status do meu pedido #67890.",productive
Preciso de ajuda para corrigir um erro na exportação de dados.,productive
"A nova funcionalidade do app está incrível, parabéns!",unproductive
Quero saber mais sobre as opções de integração do sistema.,productive
"Vi a promoção no site, mas não sei se aplica a mim.",unproductive
Podem enviar o manual do usuário para a versão 4.0?,productive
"A nova campanha no X está muito criativa, parabéns!",unproductive
Preciso de suporte para configurar o sistema em vários dispositivos.,productive
"Obrigado pelo suporte contínuo, está fazendo a diferença!",unproductive
"Meu relatório está com dados faltando, podem verificar?",productive
Quero cancelar meu pedido #12345. Como procedo?,productive
"Parabéns pelo evento de lançamento, foi um sucesso!",unproductive
"Por favor, enviem o cronograma do projeto para revisão.",productive
Obrigado pela rápida resposta ao meu último e-mail!,unproductive
Preciso de ajuda para configurar a autenticação de dois fatores.,productive
"A nova atualização do app é muito intuitiva, parabéns!",unproductive
"Meu sistema está lento, há alguma manutenção em curso?",productive
"Obrigado pelo suporte no último ticket, foi excelente!",unproductive
Quero saber como funciona o processo de reembolso.,productive
Vocês têm algum programa de fidelidade para clientes?,unproductive
Podem verificar por que meu login não está funcionando?,productive
"A nova interface do portal está ótima, continuem assim!",unproductive
Preciso de um relatório detalhado das vendas de novembro.,productive
"Obrigado pela entrega rápida, superou as expectativas!",unproductive
"Adorei as dicas do blog, muito úteis!",unproductive
Meu pedido #34567 chegou com defeito. Como faço a troca?,productive
"Por favor, enviem a fatura do último pagamento.",productive
"O webinar de ontem foi muito informativo, parabéns!",unproductive
Preciso de suporte para integrar o sistema com nosso ERP.,productive
Quero saber mais sobre os planos de suporte técnico.,productive
"A nova campanha de marketing está incrível, parabéns!",unproductive
"Meu sistema está com erro 401, podem verificar?",productive
Obrigado pela solução rápida do problema com minha conta!,unproductive
Quero agendar uma call para discutir os termos do contrato.,productive
Vocês têm alguma novidade planejada para o próximo trimestre?,unproductive
"Por favor, confirmem o prazo para entrega do pedido #78901.",productive
"A nova funcionalidade do app está muito prática, parabéns!",unproductive
Preciso de ajuda para corrigir um erro no upload de arquivos.,productive
Quero saber como configurar o sistema para relatórios automáticos.,productive
"Adorei o design do novo site, ficou muito moderno!",unproductive
"Meu acesso ao sistema foi bloqueado, podem liberar?",productive
Parabéns pelo ótimo atendimento no último chamado!,unproductive
Preciso de um relatório de uso do sistema dos últimos 60 dias.,productive
"Obrigado pela entrega no prazo, foi perfeito!",unproductive
Quero mudar meu plano para o premium. Como faço?,productive
"A nova campanha no X está muito bem feita, parabéns!",unproductive
Obrigado pela rápida resposta ao meu ticket!,unproductive
Vocês oferecem descontos para assinaturas anuais?,unproductive
Meu pedido #45678 ainda não foi entregue. Podem checar?,productive
"A nova interface do app está incrível, continuem assim!",unproductive
"Por favor, enviem a proposta para o plano empresarial.",productive
Preciso de ajuda para exportar dados do sistema para Excel.,productive
"Meu sistema está com erro 502, podem investigar?",productive
"Obrigado pela atenção no suporte, foi excelente!",unproductive
Quero saber mais sobre as opções de personalização do serviço.,productive
"Por favor, confirmem o status do meu pedido #56789.",productive
Preciso de suporte para corrigir um erro na importação de dados.,productive
"Parabéns pelo lançamento do novo produto, está ótimo!",unproductive
Meu login está dando erro 'credenciais inválidas'. Podem ajudar?,productive
Quero agendar uma call para discutir o projeto Z.,productive
Preciso de uma fatura detalhada para o pagamento de outubro.,productive
Quero saber como integrar o sistema com nossa API.,productive
Meu pedido #67890 chegou com um item faltando. Como resolvo?,productive
"Por favor, enviem o manual do usuário para a versão 4.1.",productive
Preciso de suporte para configurar o webhook no meu projeto.,productive
"A nova interface do portal está muito prática, parabéns!",unproductive
"A nova funcionalidade do app está incrível, continuem assim!",unproductive
Preciso de ajuda para corrigir um erro no login.,productive
"Meu relatório está com dados errados, podem verificar?",productive
"Por favor, enviem a proposta comercial para o plano premium.",productive
Quero cancelar meu pedido #23456. Como procedo?,productive
Preciso de um relatório de transações do último trimestre.,productive
Podem verificar por que meu sistema está lento?,productive
"Meu sistema está com erro 400, podem verificar?",productive
"A nova interface do site está muito moderna, parabéns!",unproductive
"Por favor, confirmem o status do meu pedido #34567.",productive
Preciso de um relatório detalhado das vendas de dezembro.,productive
"A nova interface do portal está incrível, continuem assim!",unproductive
"Por favor, confirmem o prazo para entrega do pedido #56789.",productive
Quero cancelar meu pedido #67890. Como procedo?,productive
Preciso de um relatório de uso do sistema dos últimos 90 dias.,productive
"A nova interface do app está muito intuitiva, parabéns!",unproductive
Preciso de uma fatura detalhada para o pagamento de novembro.,productive
Meu pedido #78901 chegou com defeito. Como faço a troca?,productive
"Por favor, enviem o manual do usuário para a versão 4.2.",productive
"Por favor, confirmem o status do meu pedido #23456.",productive
Quero cancelar meu pedido #34567. Como procedo?,productive
Preciso de um relatório detalhado das vendas de janeiro.,productive
Meu pedido #67890 chegou com defeito. Como faço a troca?,productive
Quero cancelar meu pedido #78901. Como procedo?,productive
Preciso de um relatório de uso do sistema dos últimos 30 dias.,productive
"Parabéns pela nova campanha de marketing, está incrível!",unproductive
"Por favor, enviem o manual do usuário para a versão 4.3.",productive
Meu pedido #34567 ainda não foi entregue. Podem checar?,productive
Preciso de um relatório detalhado das transações de fevereiro.,productive
"Por favor, confirmem o prazo para entrega do pedido #45678.",productive
Quero cancelar meu pedido #56789. Como procedo?,productive
Preciso de suporte para integrar o sistema com nosso CRM.,productive
"Por favor, confirmem o status do meu pedido #78901.",productive
Meu pedido #23456 ainda não foi entregue. Podem checar?,productive
Preciso de um relatório detalhado das transações de março.,productive
Meu pedido #56789 chegou com defeito. Como faço a troca?,productive
Preciso de um relatório detalhado das vendas de abril.,productive
"Por favor, confirmem o prazo para entrega do pedido #23456.",productive
Quero cancelar meu pedido #45678. Como procedo?,productive
Meu pedido #67890 ainda não foi entregue. Podem checar?,productive
Preciso de um relatório detalhado das transações de maio.,productive
Preciso de um relatório detalhado das vendas de junho.,productive
Preciso de um relatório detalhado das vendas de julho.,productive
"Por favor, confirmem o status do meu pedido #45678.",productive
Meu pedido #56789 ainda não foi entregue. Podem checar?,productive
"Por favor, confirmem o prazo para entrega do pedido #67890.",productive
Preciso de um relatório detalhado das transações de agosto.,productive
Quero saber como integrar o sistema com nosso ERP.,productive
"Parabéns pela nova funcionalidade do app, está incrível!",unproductive
Preciso de um relatório detalhado das vendas de setembro.,productive
Meu pedido #45678 chegou com defeito. Como faço a troca?,productive
Preciso de um relatório detalhado das vendas de outubro.,productive
Meu pedido #23456 chegou com defeito. Como faço a troca?,productive
Preciso de um relatório detalhado das vendas de fevereiro.,productive
Preciso de um relatório detalhado das vendas de março.,productive
